Kelime,Türkçe Anlamý,V1 (Yalýn Hali),V2 (Geçmiþ Zaman),V3 (Sýfat Fiil)
doctor,doktor,-,-,-
document,belge,document,documented,documented
documentary,belgesel,-,-,-
dog,köpek,-,-,-
dollar,dolar,-,-,-
"domestic,""yerli, ev ile ilgili"",-,-,-"
dominate,hakim olmak,dominate,dominated,dominated
donate,baðýþlamak,donate,donated,donated
door,kapý,-,-,-
"double,""çift, iki katýna çýkarmak"",double,doubled,doubled"
"doubt,""þüphe, þüphelenmek"",doubt,doubted,doubted"
down,aþaðý,-,-,-
download,indirmek,download,downloaded,downloaded
downstairs,alt kat,-,-,-
downwards,aþaðýya doðru,-,-,-
dozen,düzine,-,-,-
draft,taslak,draft,drafted,drafted
drag,sürüklemek,drag,dragged,dragged
drama,drama,-,-,-
dramatic,dramatik,-,-,-
draw,çizmek,draw,drew,drawn
drawing,çizim,-,-,-
"dream,""rüya, hayal etmek"",dream,dreamed/dreamt,dreamed/dreamt"
"dress,""elbise, giydirmek"",dress,dressed,dressed"
dressed,giyinmiþ,-,-,-
drink,içmek,drink,drank,drunk
drive,sürmek (araba),drive,drove,driven
driver,sürücü,-,-,-
driving,sürüþ,-,-,-
"drop,""düþürmek, damla"",drop,dropped,dropped"
"drug,""ilaç, uyuþturucu"",-,-,-"
drum,davul,-,-,-
drunk,sarhoþ,-,-,-
"dry,""kuru, kurulamak"",dry,dried,dried"
"due,""beklenen, borçlu"",-,-,-"
during,sýrasýnda,-,-,-
dust,toz,-,-,-
duty,görev,-,-,-
DVD,DVD,-,-,-
each,her bir,-,-,-
ear,kulak,-,-,-
early,erken,-,-,-
earn,kazanmak (para),earn,earned,earned
earth,dünya,-,-,-
earthquake,deprem,-,-,-
easily,kolayca,-,-,-
east,doðu,-,-,-
eastern,doðu (sýfat),-,-,-
easy,kolay,-,-,-
eat,yemek yemek,eat,ate,eaten
economic,ekonomik,-,-,-
economy,ekonomi,-,-,-
edge,kenar,-,-,-
edit,düzenlemek (metin),edit,edited,edited
"edition,""baský, sürüm"",-,-,-"
editor,editör,-,-,-
educate,eðitmek,educate,educated,educated
educated,eðitimli,-,-,-
education,eðitim,-,-,-
educational,eðitici,-,-,-
effect,etki,-,-,-
effective,etkili,-,-,-
effectively,etkili bir þekilde,-,-,-
efficient,verimli,-,-,-
effort,çaba,-,-,-
egg,yumurta,-,-,-
eight,sekiz,-,-,-
eighteen,on sekiz,-,-,-
eighty,seksen,-,-,-
either,ikisinden biri,-,-,-
elderly,yaþlý,-,-,-
elect,seçmek (oylama),elect,elected,elected
election,seçim,-,-,-
electric,elektrikli,-,-,-
electrical,elektrikli,-,-,-
electricity,elektrik,-,-,-
electronic,elektronik,-,-,-
"element,""unsur, öðe"",-,-,-"
elephant,fil,-,-,-
eleven,on bir,-,-,-
else,baþka,-,-,-
elsewhere,baþka bir yerde,-,-,-
email,e-posta,email,emailed,emailed
embarrassed,utanmýþ,-,-,-
embarrassing,utandýrýcý,-,-,-
emerge,ortaya çýkmak,emerge,emerged,emerged
emergency,acil durum,-,-,-
emotion,duygu,-,-,-
emotional,duygusal,-,-,-
emphasis,vurgu,-,-,-
emphasize,vurgulamak,emphasize,emphasized,emphasized
employ,istihdam etmek,employ,employed,employed
employee,çalýþan,-,-,-
employer,iþveren,-,-,-
employment,istihdam,-,-,-
"empty,""boþ, boþaltmak"",empty,emptied,emptied"
enable,olanak saðlamak,enable,enabled,enabled
encounter,karþýlaþmak,encounter,encountered,encountered
encourage,teþvik etmek,encourage,encouraged,encouraged
"end,""son, bitirmek"",end,ended,ended"
ending,son (bölüm),-,-,-
enemy,düþman,-,-,-
energy,enerji,-,-,-
"engage,""meþgul etmek, katýlmak"",engage,engaged,engaged"
"engaged,""niþanlý, meþgul"",-,-,-"
engine,motor,-,-,-
engineer,mühendis,-,-,-
engineering,mühendislik,-,-,-
"enhance,""geliþtirmek, iyileþtirmek"",enhance,enhanced,enhanced"
enjoy,zevk almak,enjoy,enjoyed,enjoyed
enormous,çok büyük,-,-,-
enough,yeterli,-,-,-
"enquiry,""soruþturma, sorgu"",-,-,-"
"ensure,""saðlamak, garanti etmek"",ensure,ensured,ensured"
enter,girmek,enter,entered,entered
entertain,eðlendirmek,entertain,entertained,entertained
entertainment,eðlence,-,-,-
enthusiasm,coþku,-,-,-
enthusiastic,hevesli,-,-,-
"entire,""bütün, tüm"",-,-,-"
entirely,tamamen,-,-,-
entrance,giriþ,-,-,-
"entry,""giriþ, kayýt"",-,-,-"
environment,çevre,-,-,-
environmental,çevresel,-,-,-
episode,bölüm (dizi),-,-,-
equal,eþit,equal,equalled,equalled
equally,eþit þekilde,-,-,-
equipment,ekipman,-,-,-
error,hata,-,-,-
escape,kaçmak,escape,escaped,escaped
especially,özellikle,-,-,-
"essay,""deneme, kompozisyon"",-,-,-"
"essential,""gerekli, temel"",-,-,-"
establish,kurmak,establish,established,established
"estate,""mülk, emlak"",-,-,-"
estimate,tahmin etmek,estimate,estimated,estimated
ethical,etik,-,-,-
euro,avro,-,-,-
evaluate,deðerlendirmek,evaluate,evaluated,evaluated
"even,""hatta, düz"",-,-,-"
evening,akþam,-,-,-
event,olay,-,-,-
eventually,sonunda,-,-,-
ever,hiç,-,-,-
every,her,-,-,-
everybody,herkes,-,-,-
everyday,günlük,-,-,-
everyone,herkes,-,-,-
everything,her þey,-,-,-
everywhere,her yerde,-,-,-
evidence,kanýt,-,-,-
evil,kötü,-,-,-
"exact,""tam, kesin"",-,-,-"
exactly,tam olarak,-,-,-
exam,sýnav,-,-,-
"examination,""inceleme, sýnav"",-,-,-"
examine,incelemek,examine,examined,examined
example,örnek,-,-,-
excellent,mükemmel,-,-,-
except,hariç,-,-,-
"exchange,""deðiþim, deðiþtirmek"",exchange,exchanged,exchanged"
excited,heyecanlý,-,-,-
excitement,heyecan,-,-,-
exciting,heyecan verici,-,-,-
"excuse,""bahane, mazur görmek"",excuse,excused,excused"
executive,yönetici,-,-,-
"exercise,""egzersiz, egzersiz yapmak"",exercise,exercised,exercised"
exhibition,sergi,-,-,-
exist,var olmak,exist,existed,existed
existence,varlýk,-,-,-
expand,geniþlemek,expand,expanded,expanded
expect,beklemek,expect,expected,expected
expectation,beklenti,-,-,-
expected,beklenen,-,-,-
"expedition,""sefer, keþif gezisi"",-,-,-"
expense,masraf,-,-,-
expensive,pahalý,-,-,-
experience,deneyim,experience,experienced,experienced
experienced,deneyimli,-,-,-
experiment,deney,experiment,experimented,experimented
expert,uzman,-,-,-
explain,açýklamak,explain,explained,explained
explanation,açýklama,-,-,-
explode,patlamak,explode,exploded,exploded
exploration,keþif,-,-,-
explore,keþfetmek,explore,explored,explored
explosion,patlama,-,-,-
"export,""ihracat, ihraç etmek"",export,exported,exported"
expose,maruz býrakmak,expose,exposed,exposed
express,ifade etmek,express,expressed,expressed
expression,ifade,-,-,-
"extend,""uzatmak, geniþletmek"",extend,extended,extended"
"extent,""derece, kapsam"",-,-,-"
external,dýþ,-,-,-
"extra,""ekstra, fazladan"",-,-,-"
extraordinary,olaðanüstü,-,-,-
extreme,aþýrý,-,-,-
extremely,son derece,-,-,-
eye,göz,-,-,-
"face,""yüz, karþýlaþmak"",face,faced,faced"
"facility,""tesis, imkan"",-,-,-"
fact,gerçek,-,-,-
factor,faktör,-,-,-
factory,fabrika,-,-,-
fail,baþarýsýz olmak,fail,failed,failed
failure,baþarýsýzlýk,-,-,-
fair,adil,-,-,-
"fairly,""oldukça, adil bir þekilde"",-,-,-"
faith,inanç,-,-,-
fall,düþmek,fall,fell,fallen
"false,""yanlýþ, sahte"",-,-,-"
"familiar,""tanýdýk, aþina"",-,-,-"
family,aile,-,-,-
famous,ünlü,-,-,-
"fan,""hayran, yelpaze"",-,-,-"
"fancy,""hayal etmek, süslü"",fancy,fancied,fancied"
fantastic,harika,-,-,-
far,uzak,-,-,-
"farm,""çiftlik, çiftçilik yapmak"",farm,farmed,farmed"
farmer,çiftçi,-,-,-
farming,çiftçilik,-,-,-
fascinating,büyüleyici,-,-,-
fashion,moda,-,-,-
fashionable,moda olan,-,-,-
fast,hýzlý,-,-,-
"fasten,""baðlamak, sýkýþtýrmak"",fasten,fastened,fastened"
"fat,""yað, þiþman"",-,-,-"
father,baba,-,-,-
"fault,""kusur, hata"",-,-,-"
favour,iyilik,favour,favoured,favoured
favourite,favori,-,-,-
"fear,""korku, korkmak"",fear,feared,feared"
feather,tüy,-,-,-
feature,özellik,feature,featured,featured
February,Þubat,-,-,-
fee,ücret,-,-,-
feed,beslemek,feed,fed,fed
feedback,geri bildirim,-,-,-
feel,hissetmek,feel,felt,felt
"feeling,""his, duygu"",-,-,-"
"fellow,""arkadaþ, meslektaþ"",-,-,-"
"female,""diþi, kadýn"",-,-,-"
fence,çit,-,-,-
festival,festival,-,-,-
few,az sayýda,-,-,-
fiction,kurgu,-,-,-
"field,""tarla, alan"",-,-,-"
fifteen,on beþ,-,-,-
fifth,beþinci,-,-,-
fifty,elli,-,-,-
"fight,""kavga etmek, savaþmak"",fight,fought,fought"
"fighting,""kavga, dövüþ"",-,-,-"
"figure,""rakam, þekil"",figure,figured,figured"
file,dosya,file,filed,filed
fill,doldurmak,fill,filled,filled
"film,""film, filme çekmek"",film,filmed,filmed"
"final,""son, final"",-,-,-"
finally,sonunda,-,-,-
finance,finans,finance,financed,financed
financial,finansal,-,-,-
find,bulmak,find,found,found
finding,bulgu,-,-,-
"fine,""iyi, ince"",-,-,-"
finger,parmak,-,-,-
finish,bitirmek,finish,finished,finished
"fire,""ateþ, kovmak"",fire,fired,fired"
"firm,""firma, saðlam"",-,-,-"
first,ilk,-,-,-
firstly,ilk olarak,-,-,-
"fish,""balýk, balýk tutmak"",fish,fished,fished"
fishing,balýkçýlýk,-,-,-
"fit,""uygun olmak, formda"",fit,fitted/fit,fitted/fit"
"fitness,""fitness, form"",-,-,-"
five,beþ,-,-,-
"fix,""onarmak, sabitlemek"",fix,fixed,fixed"
fixed,sabit,-,-,-
flag,bayrak,-,-,-
flame,alev,-,-,-
"flash,""flaþ, parlamak"",flash,flashed,flashed"
"flat,""daire, düz"",-,-,-"
flexible,esnek,-,-,-
flight,uçuþ,-,-,-
"float,""yüzmek (suda), süzülmek"",float,floated,floated"
"flood,""sel, su basmak"",flood,flooded,flooded"
"floor,""kat, zemin"",-,-,-"
flour,un,-,-,-
flow,akmak,flow,flowed,flowed
flower,çiçek,-,-,-
flu,grip,-,-,-
fly,uçmak,fly,flew,flown
flying,uçma,-,-,-
focus,odaklanmak,focus,focused,focused
fold,katlamak,fold,folded,folded
folding,katlanabilir,-,-,-
folk,halk,-,-,-
follow,takip etmek,follow,followed,followed
"following,""takip eden, sonraki"",-,-,-"
food,yiyecek,-,-,-
foot,ayak,-,-,-
football,futbol,-,-,-
for,için,-,-,-
"force,""güç, zorlamak"",force,forced,forced"
foreign,yabancý,-,-,-
forest,orman,-,-,-
forever,sonsuza dek,-,-,-
forget,unutmak,forget,forgot,forgotten
forgive,affetmek,forgive,forgave,forgiven
fork,çatal,-,-,-
"form,""form, þekillendirmek"",form,formed,formed"
formal,resmi,-,-,-
"former,""eski, önceki"",-,-,-"
fortunately,neyse ki,-,-,-
"fortune,""servet, þans"",-,-,-"
forty,kýrk,-,-,-
forward,ileri,-,-,-
found,kurmak,found,founded,founded
four,dört,-,-,-
fourteen,on dört,-,-,-
fourth,dördüncü,-,-,-
frame,çerçeve,frame,framed,framed
"free,""özgür, ücretsiz"",free,freed,freed"
freedom,özgürlük,-,-,-
freeze,donmak,freeze,froze,frozen
frequency,sýklýk,-,-,-
frequently,sýk sýk,-,-,-
fresh,taze,-,-,-
Friday,Cuma,-,-,-
fridge,buzdolabý,-,-,-
friend,arkadaþ,-,-,-
friendly,arkadaþça,-,-,-
friendship,arkadaþlýk,-,-,-
frighten,korkutmak,frighten,frightened,frightened
frightened,korkmuþ,-,-,-
frightening,korkutucu,-,-,-
frog,kurbaða,-,-,-
from,-den,-,-,-
front,ön,-,-,-
frozen,donmuþ,-,-,-
fruit,meyve,-,-,-
fry,kýzartmak,fry,fried,fried
fuel,yakýt,fuel,fuelled,fuelled
full,dolu,-,-,-
fully,tamamen,-,-,-
fun,eðlence,-,-,-
"function,""iþlev, çalýþmak"",function,functioned,functioned"
"fund,""fon, fonlamak"",fund,funded,funded"
fundamental,temel,-,-,-
funding,finansman,-,-,-
funny,komik,-,-,-
fur,kürk,-,-,-
furniture,mobilya,-,-,-
further,daha ileri,-,-,-
furthermore,ayrýca,-,-,-
future,gelecek,-,-,-
"gain,""kazanmak, kazanç"",gain,gained,gained"
gallery,galeri,-,-,-
game,oyun,-,-,-
gang,çete,-,-,-
"gap,""boþluk, aralýk"",-,-,-"
garage,garaj,-,-,-
garden,bahçe,-,-,-
gas,gaz,-,-,-
"gate,""kapý, giriþ"",-,-,-"
"gather,""toplamak, bir araya gelmek"",gather,gathered,gathered"
general,genel,-,-,-
generally,genellikle,-,-,-
"generate,""üretmek, yaratmak"",generate,generated,generated"
generation,nesil,-,-,-
generous,cömert,-,-,-
genre,tür (edebi/sanatsal),-,-,-
"gentle,""nazik, yumuþak"",-,-,-"
gentleman,beyefendi,-,-,-
geography,coðrafya,-,-,-
"get,""almak, elde etmek"",get,got,got/gotten"
ghost,hayalet,-,-,-
giant,dev,-,-,-
gift,hediye,-,-,-
girl,kýz çocuk,-,-,-
girlfriend,kýz arkadaþ,-,-,-
give,vermek,give,gave,given
glad,memnun,-,-,-
"glass,""cam, bardak"",-,-,-"
global,küresel,-,-,-
glove,eldiven,-,-,-
go,gitmek,go,went,gone
"goal,""hedef, gol"",-,-,-"
god,tanrý,-,-,-
gold,altýn,-,-,-
golf,golf,-,-,-
good,iyi,-,-,-
goodbye,hoþça kal,-,-,-
goods,mallar,-,-,-
govern,yönetmek (devlet),govern,governed,governed
government,hükümet,-,-,-
grab,kapmak,grab,grabbed,grabbed
"grade,""not, sýnýf"",grade,graded,graded"
gradually,yavaþ yavaþ,-,-,-
graduate,mezun olmak,graduate,graduated,graduated
grain,tahýl,-,-,-
grand,görkemli,-,-,-
grandfather,dede,-,-,-
grandmother,büyükanne,-,-,-
grandparent,büyük ebeveyn,-,-,-
"grant,""hibe, vermek"",grant,granted,granted"
grass,çim,-,-,-
grateful,minnettar,-,-,-
"great,""harika, büyük"",-,-,-"
green,yeþil,-,-,-
greet,selamlamak,greet,greeted,greeted
grey,gri,-,-,-
"ground,""zemin, yer"",-,-,-"
group,grup,-,-,-
grow,büyümek,grow,grew,grown
growth,büyüme,-,-,-
"guarantee,""garanti, garanti etmek"",guarantee,guaranteed,guaranteed"
"guard,""muhafýz, korumak"",guard,guarded,guarded"
guess,tahmin etmek,guess,guessed,guessed
guest,misafir,-,-,-
"guide,""rehber, rehberlik etmek"",guide,guided,guided"
guilty,suçlu,-,-,-
guitar,gitar,-,-,-
"gun,""silah, tabanca"",-,-,-"
"guy,""adam, herif"",-,-,-"
gym,spor salonu,-,-,-
habit,alýþkanlýk,-,-,-
hair,saç,-,-,-
"half,""yarým, yarý"",-,-,-"
"hall,""salon, koridor"",-,-,-"
"hand,""el, uzatmak"",hand,handed,handed"
"handle,""kulp, ele almak"",handle,handled,handled"
hang,asmak,hang,hung,hung
"happen,""olmak, gerçekleþmek"",happen,happened,happened"
happily,mutlu bir þekilde,-,-,-
happiness,mutluluk,-,-,-
happy,mutlu,-,-,-
"hard,""zor, sert"",-,-,-"
hardly,neredeyse hiç,-,-,-
"harm,""zarar, zarar vermek"",harm,harmed,harmed"
harmful,zararlý,-,-,-
hat,þapka,-,-,-
hate,nefret etmek,hate,hated,hated
have,sahip olmak,have,had,had
have to,zorunda olmak,-,-,-
he,o (erkek),-,-,-
"head,""baþ, yönetmek"",head,headed,headed"
headache,baþ aðrýsý,-,-,-
headline,manþet,-,-,-
health,saðlýk,-,-,-
healthy,saðlýklý,-,-,-
hear,duymak,hear,heard,heard
"hearing,""duyma, iþitme"",-,-,-"
heart,kalp,-,-,-
"heat,""ýsý, ýsýtmak"",heat,heated,heated"
heating,ýsýtma,-,-,-
heaven,cennet,-,-,-
heavily,aðýr bir þekilde,-,-,-
heavy,aðýr,-,-,-
heel,topuk,-,-,-
"height,""boy, yükseklik"",-,-,-"
helicopter,helikopter,-,-,-
hell,cehennem,-,-,-
hello,merhaba,-,-,-
help,yardým etmek,help,helped,helped
helpful,yardýmcý,-,-,-
her,onun (kadýn),-,-,-
here,burada,-,-,-
hero,kahraman,-,-,-
hers,onunki (kadýn),-,-,-
herself,kendisi (kadýn),-,-,-
hesitate,tereddüt etmek,hesitate,hesitated,hesitated
hey,hey,-,-,-
hi,selam,-,-,-
hide,saklamak,hide,hid,hidden
high,yüksek,-,-,-
"highlight,""vurgulamak, önemli nokta"",highlight,highlighted,highlighted"
"highly,""oldukça, son derece"",-,-,-"
hill,tepe,-,-,-
him,onu (erkek),-,-,-
himself,kendisi (erkek),-,-,-
"hire,""kiralamak, iþe almak"",hire,hired,hired"
his,onun (erkek),-,-,-
historic,tarihi (önemli),-,-,-
historical,tarihsel,-,-,-
history,tarih,-,-,-
hit,vurmak,hit,hit,hit
hobby,hobi,-,-,-
hockey,hokey,-,-,-
hold,tutmak,hold,held,held
hole,delik,-,-,-
holiday,tatil,-,-,-
hollow,içi boþ,-,-,-
holy,kutsal,-,-,-
home,ev,-,-,-
homework,ev ödevi,-,-,-
honest,dürüst,-,-,-
"honour,""onur, onurlandýrmak"",honour,honoured,honoured"
hope,umut etmek,hope,hoped,hoped
horrible,korkunç,-,-,-
"horror,""dehþet, korku"",-,-,-"
horse,at,-,-,-
hospital,hastane,-,-,-
"host,""ev sahibi, sunmak"",host,hosted,hosted"
hot,sýcak,-,-,-
hotel,otel,-,-,-
hour,saat (süre),-,-,-
"house,""ev, barýndýrmak"",house,housed,housed"
"household,""hane, ev halký"",-,-,-"
housing,konut,-,-,-
how,nasýl,-,-,-
however,ancak,-,-,-
huge,çok büyük,-,-,-
human,insan,-,-,-
humorous,esprili,-,-,-
humour,mizah,-,-,-
hundred,yüz (sayý),-,-,-
hungry,aç,-,-,-
hunt,avlamak,hunt,hunted,hunted
hunting,avcýlýk,-,-,-
hurricane,kasýrga,-,-,-
hurry,acele etmek,hurry,hurried,hurried
"hurt,""incitmek, acý vermek"",hurt,hurt,hurt"
husband,koca,-,-,-
I,ben,-,-,-
ice,buz,-,-,-
ice cream,dondurma,-,-,-
idea,fikir,-,-,-
ideal,ideal,-,-,-
"identify,""tanýmlamak, kimliðini belirlemek"",identify,identified,identified"
identity,kimlik,-,-,-
if,eðer,-,-,-
ignore,görmezden gelmek,ignore,ignored,ignored
ill,hasta,-,-,-
illegal,yasadýþý,-,-,-
illness,hastalýk,-,-,-
"illustrate,""göstermek, resimlemek"",illustrate,illustrated,illustrated"
"illustration,""çizim, resim"",-,-,-"
"image,""imaj, görüntü"",-,-,-"
imaginary,hayali,-,-,-
imagination,hayal gücü,-,-,-
imagine,hayal etmek,imagine,imagined,imagined
"immediate,""acil, ani"",-,-,-"
immediately,hemen,-,-,-
immigrant,göçmen,-,-,-
impact,etki,impact,impacted,impacted
impatient,sabýrsýz,-,-,-
imply,ima etmek,imply,implied,implied
"import,""ithal etmek, ithalat"",import,imported,imported"
importance,önem,-,-,-
important,önemli,-,-,-
impose,dayatmak,impose,imposed,imposed
impossible,imkansýz,-,-,-
impress,etkilemek,impress,impressed,impressed
impressed,etkilenmiþ,-,-,-
impression,izlenim,-,-,-
impressive,etkileyici,-,-,-
"improve,""geliþtirmek, iyileþtirmek"",improve,improved,improved"
improvement,iyileþme,-,-,-
in,içinde,-,-,-
inch,inç,-,-,-
incident,olay,-,-,-
"include,""içermek, dahil etmek"",include,included,included"
included,dahil,-,-,-
including,dahil olmak üzere,-,-,-
income,gelir,-,-,-
"increase,""artmak, artýrmak"",increase,increased,increased"
increasingly,giderek artan þekilde,-,-,-
incredible,inanýlmaz,-,-,-
incredibly,inanýlmaz derecede,-,-,-
indeed,gerçekten,-,-,-
independent,baðýmsýz,-,-,-
"indicate,""belirtmek, göstermek"",indicate,indicated,indicated"
indirect,dolaylý,-,-,-
"individual,""birey, bireysel"",-,-,-"
indoor,kapalý mekan,-,-,-
indoors,iç mekanda,-,-,-
industrial,endüstriyel,-,-,-
industry,endüstri,-,-,-
infection,enfeksiyon,-,-,-
"influence,""etki, etkilemek"",influence,influenced,influenced"
inform,bilgilendirmek,inform,informed,informed
informal,resmi olmayan,-,-,-
information,bilgi,-,-,-
ingredient,malzeme (yemek),-,-,-
"initial,""ilk, baþlangýç"",-,-,-"
initially,baþlangýçta,-,-,-
initiative,giriþim,-,-,-
injure,yaralamak,injure,injured,injured
injured,yaralý,-,-,-
injury,yaralanma,-,-,-
inner,iç,-,-,-
innocent,masum,-,-,-
insect,böcek,-,-,-
inside,içeride,-,-,-
insight,iç görü,-,-,-
insist,ýsrar etmek,insist,insisted,insisted
inspire,ilham vermek,inspire,inspired,inspired
install,kurmak (yazýlým/cihaz),install,installed,installed
instance,örnek,-,-,-
instead,bunun yerine,-,-,-
institute,enstitü,-,-,-
institution,kurum,-,-,-
instruction,talimat,-,-,-
instructor,eðitmen,-,-,-
"instrument,""enstrüman, alet"",-,-,-"
insurance,sigorta,-,-,-
intelligence,zeka,-,-,-
intelligent,zeki,-,-,-
intend,niyetlenmek,intend,intended,intended
intended,amaçlanan,-,-,-
intense,yoðun,-,-,-
intention,niyet,-,-,-
"interest,""ilgi, faiz"",interest,interested,interested"
interested,ilgilenen,-,-,-
interesting,ilginç,-,-,-
"internal,""iç, dahili"",-,-,-"
international,uluslararasý,-,-,-
internet,internet,-,-,-
interpret,yorumlamak,interpret,interpreted,interpreted
interrupt,kesmek (sözünü),interrupt,interrupted,interrupted
"interview,""görüþme, röportaj yapmak"",interview,interviewed,interviewed"
into,içine,-,-,-
introduce,tanýtmak,introduce,introduced,introduced
"introduction,""giriþ, tanýtým"",-,-,-"
invent,icat etmek,invent,invented,invented
invention,icat,-,-,-
invest,yatýrým yapmak,invest,invested,invested
"investigate,""araþtýrmak, soruþturmak"",investigate,investigated,investigated"
investigation,soruþturma,-,-,-
investment,yatýrým,-,-,-
invitation,davet,-,-,-
invite,davet etmek,invite,invited,invited
"involve,""içermek, dahil etmek"",involve,involved,involved"
involved,dahil olmuþ,-,-,-
"iron,""ütü, demir"",iron,ironed,ironed"
island,ada,-,-,-
"issue,""konu, sorun"",issue,issued,issued"
IT,bilgi teknolojisi,-,-,-
it,o (nesne),-,-,-
"item,""madde, ürün"",-,-,-"
its,onun (nesne),-,-,-
itself,kendisi (nesne),-,-,-
jacket,ceket,-,-,-
jam,reçel,-,-,-
January,Ocak,-,-,-
jazz,caz,-,-,-
jeans,kot pantolon,-,-,-
jewellery,mücevher,-,-,-
job,iþ,-,-,-
join,katýlmak,join,joined,joined
"joke,""þaka, þaka yapmak"",joke,joked,joked"
"journal,""dergi, günlük"",-,-,-"
journalist,gazeteci,-,-,-
journey,yolculuk,-,-,-
joy,neþe,-,-,-
"judge,""hakim, yargýlamak"",judge,judged,judged"
"judgement,""yargý, karar"",-,-,-"
juice,meyve suyu,-,-,-
July,Temmuz,-,-,-
jump,atlamak,jump,jumped,jumped
June,Haziran,-,-,-
"junior,""genç, alt kademeli"",-,-,-"
"just,""sadece, tam"",-,-,-"
justice,adalet,-,-,-
justify,haklý çýkarmak,justify,justified,justified
keen,hevesli,-,-,-
"keep,""tutmak, saklamak"",keep,kept,kept"
key,anahtar,key,keyed,keyed
keyboard,klavye,-,-,-
kick,tekmelemek,kick,kicked,kicked
kid,çocuk,-,-,-
kill,öldürmek,kill,killed,killed
killing,öldürme,-,-,-
kilometre,kilometre,-,-,-
kind (caring),nazik,-,-,-
"kind (type),""tür, çeþit"",-,-,-"
king,kral,-,-,-
"kiss,""öpmek, öpücük"",kiss,kissed,kissed"
kitchen,mutfak,-,-,-
knee,diz,-,-,-
knife,býçak,-,-,-
"knock,""kapýyý çalmak, vurmak"",knock,knocked,knocked"
know,bilmek,know,knew,known
knowledge,bilgi,-,-,-
lab,laboratuvar,-,-,-
"label,""etiket, etiketlemek"",label,labelled,labelled"
laboratory,laboratuvar,-,-,-
"labour,""emek, iþçilik"",-,-,-"
"lack,""eksiklik, yoksun olmak"",lack,lacked,lacked"
lady,hanýmefendi,-,-,-
lake,göl,-,-,-
lamp,lamba,-,-,-
"land,""kara, arazi, konmak"",land,landed,landed"
landscape,manzara,-,-,-
language,dil,-,-,-
laptop,dizüstü bilgisayar,-,-,-
large,büyük,-,-,-
largely,büyük ölçüde,-,-,-
last1 (final),son,-,-,-
last1 (taking time),sürmek (zaman),last,lasted,lasted
late,geç,-,-,-
later,daha sonra,-,-,-
latest,en son,-,-,-
laugh,gülmek,laugh,laughed,laughed
"laughter,""gülme, kahkaha"",-,-,-"
"launch,""baþlatmak, piyasaya sürmek"",launch,launched,launched"
law,kanun,-,-,-
lawyer,avukat,-,-,-
"lay,""koymak, yatýrmak"",lay,laid,laid"
layer,katman,-,-,-
lazy,tembel,-,-,-
"lead1,""yönetmek, önderlik etmek"",lead,led,led"
leader,lider,-,-,-
leadership,liderlik,-,-,-
leading,önde gelen,-,-,-
leaf,yaprak,-,-,-
league,lig,-,-,-
"lean,""yaslanmak, zayýf"",lean,leaned/leant,leaned/leant"
learn,öðrenmek,learn,learned/learnt,learned/learnt
learning,öðrenme,-,-,-
least,en az,-,-,-
leather,deri,-,-,-
"leave,""ayrýlmak, býrakmak"",leave,left,left"
"lecture,""ders, konferans"",lecture,lectured,lectured"
left,sol,-,-,-
leg,bacak,-,-,-
legal,yasal,-,-,-
leisure,boþ zaman,-,-,-
lemon,limon,-,-,-
lend,ödünç vermek,lend,lent,lent
length,uzunluk,-,-,-
less,daha az,-,-,-
lesson,ders,-,-,-
"let,""izin vermek, býrakmak"",let,let,let"
"letter,""mektup, harf"",-,-,-"
level,seviye,level,levelled,levelled
library,kütüphane,-,-,-
"licence,""lisans, ruhsat"",-,-,-"
"lie1,""yatmak, uzanmak"",lie,lay,lain"
lie2,yalan söylemek,lie,lied,lied
life,hayat,-,-,-
lifestyle,yaþam tarzý,-,-,-
"lift,""kaldýrmak, asansör"",lift,lifted,lifted"
light (not heavy),hafif,-,-,-
"light (sun/lamp),""ýþýk, aydýnlatmak"",light,lit/lighted,lit/lighted"
"like (find pleasant),""hoþlanmak, sevmek"",like,liked,liked"
like (similar),gibi,-,-,-
likely,muhtemel,-,-,-
"limit,""sýnýr, sýnýrlamak"",limit,limited,limited"
limited,sýnýrlý,-,-,-
"line,""çizgi, sýra"",line,lined,lined"
"link,""baðlantý, baðlamak"",link,linked,linked"
lion,aslan,-,-,-
lip,dudak,-,-,-
liquid,sývý,-,-,-
"list,""liste, listelemek"",list,listed,listed"
listen,dinlemek,listen,listened,listened
listener,dinleyici,-,-,-
literature,edebiyat,-,-,-
"little,""küçük, az"",-,-,-"
live1,yaþamak,live,lived,lived
live2,canlý yayýnda,-,-,-
"lively,""canlý, hareketli"",-,-,-"
"living,""yaþayan, geçim"",-,-,-"
"load,""yük, yüklemek"",load,loaded,loaded"
"loan,""kredi, borç"",loan,loaned,loaned"
local,yerel,-,-,-
"locate,""bulmak, konumlandýrmak"",locate,located,located"
located,konumlanmýþ,-,-,-
location,konum,-,-,-
"lock,""kilit, kilitlemek"",lock,locked,locked"
logical,mantýklý,-,-,-
lonely,yalnýz,-,-,-
long-term,uzun vadeli,-,-,-
long1,uzun,-,-,-
"look,""bakmak, görünmek"",look,looked,looked"
loose,gevþek,-,-,-
"lord,""lord, efendi"",-,-,-"
lorry,kamyon,-,-,-
lose,kaybetmek,lose,lost,lost
loss,kayýp,-,-,-
lost,kaybolmuþ,-,-,-
lot,çok (miktar),-,-,-
