Sýra;Fransýzca Kelime;Ýsveççe Anlamý;Türkçe Anlamý
338;bander;"binda om, spänna; få stånd";
339;un signal;en signal;sinyal
339;signaler;"påpeka; signalera";
339;signalé;rapporterad;
340;voisin;"grann-; angränsande";komþu
340;un voisin;en granne;
340;un voisinage;ett grannskap;
340;avoisiner;gränsa till;
340;avoisinant;"angränsande; närbelägen";
341;une réforme;en reform;reform
341;un, une réformiste;en reformist;
341;réformer;"omorganisera; reformera";
341;réformateur;reformerande;
341;un réformateur;en reformivrare, en reformator;
342;rejeter;"kasta tillbaka; avvisa";reddetmek
342;jeter;"kasta; slänga";
342;un rejet;ett avvisande;
342;un jet;"ett kast; en stråle";
342;une jetée;"en vågbrytare; en pir";
343;rouge;röd;kýrmýzý
343;rougir;"rodna; rödfärga";
344;une majorité;"en majoritet; en myndighetsålder";çoðunluk
344;majeur;"myndig; dur-";
344;un majeur;"ett långfinger; ett dur";
344;majoritaire;majoritets-;
344;majoritairement;med majoritet;
344;un major;en major;
344;une majoration;en höjning;
344;majorer;"höja; öka";
345;autoriser;tillåta;izin vermek
345;une autorisation;en tillåtelse;
346;effectuer;utföra;gerçekleþtirmek
346;effectivement;"faktiskt; verkligen";
346;effectif;"faktisk; verklig";
346;l'effectif;personalstyrka;
347;un bord;"en kant; en brädd; en sida";kenar, kýyý
347;border;"kanta; gå (ligga, segla, åka, etc) längs";
347;un rebord;"en kant; en list";
347;une bordure;"en infattning; en kantsten; en bård";
348;une faveur;"en förmån; en gunst";iyilik, lütuf
348;favoriser;"gynna; favorisera; främja";
348;favorable;gynnsam;
348;favori;favorit;
348;un favori;"en favorit, en gullegris; polisonger";
348;défavoriser;missgynna;
348;défavorable;ogynnsam;
348;favorablement;"gynnsamt; välvilligt";
349;une éducation;en uppfostran;eðitim (aile)
349;éducatif;"utbildnings-; uppfostrings-";
349;éduquer;"(upp)fostra; utbilda";
349;un éducateur;"en uppfostrare; en lärare, en pedagog";
350;officiel;officiell;resmi
350;un office;"ett kontor; ett ämbete; en gudstjänst";
350;un officier;"en officer; en ämbetsman";
350;officier;förrätta gudstjänst;
350;officiellement;officiellt;
350;officieux;halvofficiell;
350;officialiser;göra officiell;
351;un document;ett dokument;belge
351;une documentation;en dokumentation;
351;documenter;dokumentera;
352;un aspect;"ett utseende; en aspekt";görünüþ, yön
353;retourner;"vrida; vända; åka (gå, komma, etc) tillbaka";"geri dönmek; çevirmek"
353;un retournement;"en omkastning; en omvändning";
354;professionnel;"yrkes-; professionell";mesleki
354;un professionnel;"en fackman; ett proffs";
354;une profession;ett yrke;
354;le professionnalisme;"yrkeskunnighet; professionalism";
355;auparavant;förut, tidigare;önceden
356;un animal;ett djur;hayvan
356;animal;"djur-, animal-; djurisk";
357;utile;"nyttig; användbar";faydalý
357;inutile;"onyttig; oanvändbar";
357;une utilité;"en nytta; en användbarhet";
357;inutilement;"till ingen nytta; i onödan";
358;inscrire;"skriva in; anmäla";kaydetmek, yazmak
358;une inscription;"en inskrift; en registrering";
358;inscrit;"inskriven; registrerad";
359;une concurrence;"en konkurrens; en tävlan";rekabet
359;un concurrent;"en konkurrent; en medtävlare";
359;concurrent;konkurrerande;
359;concurrentiel;konkurrenskraftig;
359;concurrencer;konkurrera med;
360;rejoindre;"återförena sig med; träffa";yeniden katýlmak, buluþmak
360;joindre;"förbinda; ansluta till; sätta ihop";
360;conjointement;gemensamt, tillsammans;
361;absolument;alldeles, absolut;tamamen, mutlak olarak
361;absolu;absolut, fullständig;
362;une prison;ett fängelse;hapishane
362;un prisonnier;en fånge;
362;emprisonner;"fängsla; spärra in";
363;confirmer;bekräfta;onaylamak, teyit etmek
363;une confirmation;"en bekräftelse; en konfirmation";
364;un salaire;en lön;maaþ
364;un salarié;en löntagare;
364;salarié;avlönad;
364;salarial;löne-;
364;salarier;avlöna;
365;une lecture;en läsning;okuma
365;un lecteur;en läsare;
366;contribuer;bidra;katkýda bulunmak
366;une contribution;ett bidrag;
366;un, une contribuable;en skattebetalare;
367;attaquer;angripa, attackera;saldýrmak
367;une attaque;ett angrepp, en attack;
367;un attaquant;"en angripare; en anfallsspelare";
368;une table;"ett bord; en tabell";"masa; tablo"
368;tabler;kalkylera;
369;désormais;hädanefter;bundan böyle
370;lourd;tung;aðýr
370;lourdement;tungt;
370;alourdir;tynga;
370;un alourdissement;ett nedtyngande;
370;une lourdeur;"en tyngd; en besvärlighet; en klumpighet";
371;susciter;"framkalla; väcka";uyandýrmak, doðurmak
372;une république;en republik;cumhuriyet
372;républicain;republikansk;
372;un républicain;en republikan;
373;dur;hård;sert
373;durement;hårt;
373;durcir;"göra hård; härda; hårdna; stelna";
373;un durcissement;"ett hårdnande; en skärpning";
373;une dureté;"en hårdhet; en stränghet";
374;contenir;innehålla;içermek
374;un contenu;ett innehåll;
374;un conteneur;en container;
375;déposer;"sätta av; sätta in; lämna av; placera; utfälla";býrakmak, teslim etmek
375;un dépôt;"en överlämning; en deponering; ett lager";
375;une déposition;"en avsättning; ett vittnesmålen deposition";
375;un dépositaire;en mottagare;
376;modifier;"modifiera; ändra";deðiþtirmek
376;une modification;"en modifikation; en ändring";
377;une communication;"en kommunikation; ett anförande";iletiþim
377;communiquer;"kommunicera, meddela; stå i förbindelse med";
377;un communiqué;"en kommuniké; en pressrelease";
377;la télécommunication;telekommunikation;
378;un échec;"ett misslyckande; les échecs=schack";"baþarýsýzlýk; satranç"
378;une échéance;en förfallodag, en förfallotid;
378;échéant;om så behövs;
378;un échéancier;"en förfallobok; en tidsplan";
378;échoir;förfalla;
379;transformer;förvandla;dönüþtürmek
379;une transformation;"en förändring; en transformation";
380;un frère;en bror;erkek kardeþ
380;un confrère;en kollega;
380;la fraternité;broderskap;
380;fraternel;broderlig;
381;un vote;"en röst; en omröstning";oy
381;voter;rösta;
382;regretter;"sakna; ångra (sig)";piþman olmak, üzülmek
382;un regret;"en saknad; en ånger";
382;regrettable;beklaglig;
383;une espèce;"ett slag; en art";tür, çeþit
384;une recommandation;en rekommendation;tavsiye
384;recommander;rekommendera;
385;consister;bestå av;oluþmak, ibaret olmak
385;une consistance;"en stadga; en konsistens";
386;surprendre;"förvåna; överraska";þaþýrtmak
386;une surprise;en överraskning;
386;surprenant;"överraskande; förvånande";
386;surpris;förvånad;
387;une circonstance;en omständighet;durum, koþul
388;un témoin;ett vittne;tanýk, þahit
388;témoigner;vittna;
388;un témoignage;ett vittnesmål;
389;améliorer;förbättra;iyileþtirmek
389;une amélioration;en förbättring;
389;une administration;"en administration; en förvaltning; en myndighet";
389;administratif;"administrativ; förvaltnings-";
389;un administrateur;en administratör;
390;administrer;"administrera; utdela";idare etmek
391;réfléchir;reflektera, fundera;düþünmek, yansýtmak
391;une réflexion;en reflektion, en eftertanke;
391;un réflexe;en reflex (kroppsreflex);
391;réflexe;reflex-;
391;réfléchi;genomtänkt, överlagd;
391;réflexif;"reflexiv; introspektiv";
392;une lumière;"ett ljus; ett sken; en klarhet";ýþýk
392;lumineux;"lysande; klar; ljus-";
392;illuminer;lysa upp;
392;une luminosité;"en glans; en lysförmåga";
393;vert;grön;yeþil
393;une verdure;"en grönska; en grönsak";
394;apprécier;"uppskatta; bedöma";takdir etmek
394;une appréciation;"en uppskattning; en bedömning";
394;appréciable;"uppskattbar; väsentlig";
395;un combat;en kamp;kavga, mücadele
395;combattre;bekämpa;
395;un combattant;"en kämpe; soldat";
396;sensible;känslig;hassas
396;une sensibilité;"en känslighet; en mottaglighet";
396;sensiblement;"märkbart; ansenligt";
396;insensible;okänslig;
396;sensibiliser;"sensibilisera; medvetandegöra";
396;une sensibilisation;"en sensibilisering; ett medvetandegörande";
397;Merci !;Tack!;teþekkür ederim!
397;un merci;ett tack;
397;remercier;tacka;
397;un remerciement;"en tacksägelse; ett tack";
398;une visite;ett besök;ziyaret
398;visiter;besöka;
398;un visiteur;en besökare;
399;une assemblée;"en församling; ett möte";meclis, toplantý
399;rassembler;"(åter)samla; en folksamling; en politisk grupp";
399;un rassemblement;en ansamling;
399;assembler;"sätta ihop; samla";
399;un assemblage;"en hopsättning; en samling";
400;une émission;"en (ut)sändning; ett program; en strålning";yayýn, program
400;émettre;"utstråla; avge";
400;un émetteur;en sändare;
400;émis;utsänd;
401;une révolution;en revolution;devrim
401;révolutionnaire;"revolutionär; epokgörande";
402;un, une partenaire;un partner;eþ, partner
402;un partenariat;partnerskap;
403;contenter;förnöja;memnun etmek
403;content;nöjd;
403;mécontent;missnöjd;
403;un mécontentement;ett missnöje;
404;un citoyen;en medborgare;vatandaþ
404;une citoyenneté;medborgarskap;
404;un concitoyen;en landsman;
405;citer;"citera; (om)nämna";alýntýlamak, bahsetmek
405;une cité;"en stad; äldsta delen av en stad";
405;une citation;ett citat;
406;une influence;"en påverkan; en influens";etki, nüfuz
406;influencer;"påverka; influera";
406;influer;"påverka; influera";
406;influent;inflytelserik;
407;un camp;"en förläggning; ett läger";kamp
407;camper;"slå läger; bo tillfälligt; campa";
407;un camping;en camping(plats);
407;un campement;en lägerplats;
408;destiner;"avse; bestämma";amaçlamak, tahsis etmek
408;une destination;en destination;
408;un destin;ett öde;
408;une destinée;ett öde;
408;un destinataire;en mottagare;
409;un maître;"en mästare; advokat (tilltal)";"usta; avukat (hitap)"
409;maîtriser;behärska;
409;une maîtrise;"en skicklighet; en behärskning";
410;interroger;"fråga ut; förhöra";sorguya çekmek
410;une interrogation;"en utfrågning; ett förhör (i skolan)";
410;un interrogatoire;"en utfrågning; ett förhör (rättsligt)";
411;une conférence;"en konferens; en föreläsning";konferans
411;conférer;"förläna; överlägga";
412;provoquer;"provocera; föranleda";kýþkýrtmak, neden olmak
412;une provocation;"en provokation; ett framkallande";
412;un provocateur;en provokatör;
412;provocateur;provokativ;
412;provocant;"utmanande; provocerande";
413;un soldat;en soldat;asker
414;un, une collègue;"en medarbetare; en kollega";meslektaþ
414;collégial;kollegial;
415;concevoir;"utforma; avla; begripa";"tasarlamak; doðurmak; anlamak"
415;un concept;"ett begrepp; ett koncept";
415;une conception;"en uppfattning; en idé; en avlelse";
415;conceptuel;"begreppslig; konceptuell";
415;un concepteur;en idégivare;
415;inconcevable;"ofattbar; obegriplig";
415;concevable;"fattbar; obegriplig";
415;conçu;"genomtänkt; planerad";
416;un poids;en tyngd;aðýrlýk
417;acquérir;"förvärva; köpa";edinmek, satýn almak
417;une acquisition;ett förvärv, ett (in)köp;
417;acquis;förvärvad;
417;un acquis;"en erfarenhet; en förmån";
417;un acquéreur;"en förvärvare; en köpare";
418;convenir;"passa; lämpa sig; komma överens";uygun olmak, uymak
418;convenable;"passande; någorlunda bra";
418;convenablement;"passande; lämpligt";
418;convenu;överenskommen;
418;une convenance;"en lämplighet; en överensstämmelse";
418;une convention;en överenskommelse;
418;conventionnel;"överenskommen; konventionell";
418;un inconvénient;"en olägenhet; en nackdel";
419;logique;"logisk; följdriktig";mantýklý
419;la logique;logik;
419;un logiciel;"ett programvara; en mjukvara";
419;logiquement;"logiskt; följdriktigt";
420;examiner;"undersöka; examinera";incelemek, muayene etmek
420;un examen;"en undersökning; ett prov";
420;réexaminer;undersöka på nytt;
421;un soin;"en vård; en omsorg";bakým, özen
421;soigner;"vårda; ta hand om";
421;soigneusement;omsorgsfullt;
421;soigné;"vårdad; ordentlig";
422;impliquer;"blanda in; involvera; innebära";içermek, gerektirmek
422;une implication;"en följd; en implikation; en inbladning";
423;un individu;en individ;birey
423;individuel;"individuell; enskild; privat";
423;individuellement;"individuellt; var och en för sig";
423;un, une individualiste;en individualist;
424;demi;halv-;yarým
424;un demi;"en halva; en hälft";
425;comporter;"medföra; omfatta";içermek, kapsamak
425;un comportement;"ett beteende; ett uppförande";
425;comportemental;beteende-;
426;mériter;"förtjäna; fordra";hak etmek
426;un mérite;en förtjänst;
427;emprunter;låna [av ngn);ödünç almak
427;un emprunt;ett lån;
427;un emprunteur;en låntagare;
428;une conscience;"ett samvete; ett medvetande";"vicdan; bilinç"
428;conscient;"medveten; vid medvetande";
428;inconscient;"omedveten; medvetslös";
428;consciemment;medvetet;
429;traduire;översätta;tercüme etmek
429;une traduction;en översättning;
429;un traducteur;en översättare;
430;le sang;blod;kan
430;sanglant;"blodig; blödande";
430;saigner;"blöda; tappa blodet ur";
430;sanguin;blod-;
431;une initiative;ett initiativ;inisiyatif
431;initial;initial;
431;initialement;inledningsvis, initialt;
431;initier;"inviga; sätta igång";
431;un initiateur;en initiativtagare;
431;initialiser;initialisera;
431;une initiation;en invigning, en initition;
431;initié;"invigd; insatt; igångsatt";
431;un initié;"en invigd person; en insatt person";
432;nucléaire;atom-, kärnkrafts-;nükleer
433;une exception;ett undantag;istisna
433;exceptionnel;"undantags-; exceptionell";
433;exceptionnellement;undantagsvis;
433;excepter;undanta;
433;excepté;"med undantag för; förutom";
434;un mode;"ett sätt; ett modus";mod, tarz
434;une mode;ett mode;
434;une modalité;"ett sätt; en modalitet; modalités=villkor";
435;tendre;"sträcka ut; räcka";uzatmak, germek
435;une tendance;"en tendens; en trend";
435;une tension;"en spänning; ett tryck";
435;détendre;slappna av;
435;une détente;"spänna av; minska trycket på";
435;tendu;spänd;
436;tendre;"mjuk; mör; öm(sint)";yumuþak, hassas
436;une tendresse;"en ömhet; en kärleksfullhet";
436;tendrement;"ömt; kärleksfullt";
436;attendrir;"göra mjuk; möra";
437;une musique;en musik;müzik
437;un musicien;en musiker;
437;musical;"musik-; musikalisk";
438;une gestion;"en förvaltning; en administration";yönetim, idare
438;gérer;"förvalta; administrera; leda";
438;un, une gestionnaire;"en förvaltare; en administratör";
438;un gérant;"en förvaltare; en föreståndare";
439;vaste;vid(sträckt), stor;geniþ, büyük
440;évoquer;"frammana; påminna om";hatýrlatmak, çaðrýþtýrmak
440;une évocation;"ett frammanande; en påminnelse";
441;une étape;en etapp;aþama, etap
442;physique;"fysisk; kroppslig-";fiziksel
442;la physique;fysik;
442;un physique;"en fysik (kroppskonstitution); ett yttre";
442;physiquement;"fysiskt; kroppsligt";
442;la métaphysique;metafysisk;
442;un physicien;en fysiker;
443;accuser;anklaga;suçlamak
443;une accusation;en anklagelse;
443;accusé;anklagad;
443;un accusé;en anklagad person;
444;parfaitement;"perfekt; fullkomligt";mükemmel þekilde
444;parfait;"perfekt; fullkomlig";
444;le parfait;"perfekt; parfait";
444;parfaire;"fullända; förbättra";
444;imparfait;ofullkomlig;
444;l'imparfait;imperfekt;
445;une méthode;en metod;yöntem
445;une méthodologie;"en metodik; en metodologi";
445;méthodique;"metodisk; systematisk";
445;méthodologique;metodologisk;
446;un professeur;"en lärare; en professor";öðretmen, profesör
446;professer;"tillkänna ge; undervisa";
447;distribuer;"fördela; dela ut";daðýtmak
447;une distribution;"en fördelning; en utdelning";
447;un distributeur;"en fördelare; en automat";
447;une redistribution;en omfördelning;
447;redistribuer;"dela ut på nytt; omfördela";
448;prétendre;"påstå; göra anspråk på";iddia etmek
448;prétendu;så kallad;
448;une prétention;"ett anspråk; en anspråksfullhet";
448;prétentieux;"anspråksfull; förmäten";
448;un prétendant;"en pretendent; en friare";
449;global;"total; global";küresel, genel
449;un globe;"en glob; en kula; ett klot";
449;englober;"omfatta; slå ihop";
449;globalement;"totalt; globalt";
449;une globalisation;en globalisering;
450;un dommage;en skada;zarar
450;endommager;skada;
450;dédommager;"ersätta; gottgöra";
451;un crédit;en kredit;kredi
451;une crédibilité;en trovärdighet;
451;crédible;trovärdig;
451;discréditer;ge dåligt anseende, misskreditera;
451;créditer;kreditera;
451;accréditer;"ackreditera; ge tyngd åt";
452;une chaîne;"en kedja; en tv-kanal";"zincir; kanal"
452;enchaîner;"kedja; haka på; foga samman";
452;déchaîner;släppa lös;
452;un enchaînement;"en fastkejdning; en sammanlänkning";
453;relatif;relativ;göreceli
453;relativement;relativt;
453;relativiser;relativisera;
454;un maximum;ett max(imum);maksimum
454;maximum;max(imal);
454;maximal;max(imal);
454;une maxime;en maxim;
454;une maximation;en maximering;
454;maximiser;maximera;
455;un moteur;en motor;motor
455;moteur;"driv-; motor-; motorisk";
456;une version;en version;versiyon
457;un couple;ett (äkta) par;çift
457;un couplage;en hopkoppling;
457;coupler;koppla samman;
458;étendre;"sträcka ut; utvidga";uzatmak, geniþletmek
458;une extension;"en utvidgning; en förlängning";
458;une étendue;"en utsträckning; ett område, ett omfång";
459;profond;djup;derin
459;profondément;djupt;
459;une profondeur;ett djup;
459;approfondir;fördjupa;
460;décrire;beskriva;tarif etmek
460;une description;en beskrivning;
461;récent;ny;yakýn zamanda olan
461;récemment;nyligen;
462;une télévision;"en tv; en television";televizyon
462;une télé;en tv;
462;téléviser;sända i tv;
462;un téléspectateur;en tv-tittare;
462;télévisuel;tv-;
462;un téléviseur;en tv;
463;une retraite;"ett återtåg; en pension";emeklilik
463;un retrait;"ett uttag; ett återtagande";
463;retraité;pensionerad;
463;un retraité;en pensionär;
463;une préretraite;en förtidspension(ering);
464;un art;en konst;sanat
464;un, une artiste;"en konstnär; en artist";
464;artiste;"konstnärlig; artistisk";
464;artificiel;konstgjord, artificiell;
464;un artifice;"ett konstgrepp; ett påfund";
464;artificiellement;konstgjort, artificiellt;
464;artistique;"konstnärlig; konst-; artistisk";
465;une frontière;en gräns;sýnýr
465;un front;"en panna; en front";
465;frontalier;gräns-;
465;un frontalier;en invånare i ett gränsområde;
466;entretenir;"underhålla; försörja";sürdürmek, bakmak
466;un entretien;"ett underhåll; ett samtal";
467;habiter;bo;oturmak, yaþamak
467;un habitant;en invånare;
467;une habitation;en bostad;
467;un habitat;"ett boende; ett habitat";
467;une cohabitation;"ett samboende; en samregering";
467;cohabiter;"bo tillsammans; regera tillsammans";
468;un quartier;"en fjärdedel; ett kvarter; en stadsdel";mahalle
468;quart;"en fjärdedel; en kvart";
469;un avocat;en advokat;avukat
470;accueillir;"ta emot; välkomna";karþýlamak, hoþ geldin demek
470;un accueil;"ett mottagande; en reception";
471;une université;ett universitet;üniversite
471;universitaire;"universitets-; högskole-";
471;un, une universitaire;en universitetslärare;
472;rire;skratta;gülmek
472;un rire;ett skratt;
472;riant;glad;
473;une urgence;"en brådska; ett akutfall";acil durum
473;urgent;"brådskande; akut";
474;une clé/clef;en nyckel;anahtar
474;une clef;en nyckel;
475;religieux;religiös;dini
475;une religion;en religion;
476;disponible;tillgänglig;mevcut, ulaþýlabilir
476;une disponibilité;en tillgänglighet;
476;indisponible;otillgänglig;
476;une indisponibilité;en otillgänglighet;
477;prévenir;"förvarna; underrätta; förebygga";önlemek, uyarmak
477;une prévention;ett förebyggande;
477;préventif;förebyggande;
477;prévenu;underrättade;
477;un prévenu;en anklagad person;
478;une analyse;en undersökning, en analys;analiz
478;analyser;undersöka, analysera;
478;un, une analyste;en analytiker;
478;analytique;analytisk;
479;un mariage;ett bröllop, ett giftermål;evlilik
479;un mari;en man, en make;
479;marier;"gifta bort; viga";
479;marié;gift;
479;un marié;en brudgum;
479;remarier;gifta om;
480;une couleur;en färg;renk
480;colorer;färga;
480;tricolore;trefärgad;
480;multicolore;flerfärgad;
481;sauver;rädda;kurtarmak
481;un sauvetage;en räddning;
481;un sauveur;en räddare;
482;bleu;blå;mavi
482;un bleu;ett blåmärke;
483;réclamer;"kräva; protestera";protesto etmek, iddia etmek
483;une réclamation;ett klagomål;
484;une habitude;en vana;alýþkanlýk
484;habituel;"vanlig; vanemässig";
484;habituer;vänja vid;
484;inhabituel;ovanlig;
484;habituellement;vanligtvis;
484;habitué;van;
484;un habitué;"en stamkund; en stamgäst";
485;un fil;"en tråd; en sladd; en lina";iplik, tel
485;une file;"en fil; ett led";
485;un filet;"en tunn tråd; en filé; ett nät";
485;filer;"spinna; dra ut; skugga; ge sig av";
485;une filature;"ett spinnande; ett spinneri; en skuggning";
486;collectif;"kollektiv; samlings";kolektif
486;une collectivité;ett kollektiv, en grupp;
486;collectivement;kollektivt;
487;excellent;förträfflig, excellent;mükemmel
487;une excellence;en förträfflighet, en excellens;
487;exceller;"briljera; excellera";
488;moral;"moral-; moralisk; andlig";ahlaki
488;un moral;en kampanda;
488;une morale;"en moral; en etik; en sensmoral";
488;moralement;"moraliskt; andlig";
488;une moralité;"en moral; en moralisk lärdom";
488;immoral;omoralisk;
489;un accident;"en olycka; en olyckshändelse";kaza
490;un code;"en lagsamling; en kod; codes=halvljus";kod
490;coder;koda;
490;un décodeur;"en avkodare; en digitalbox";
491;recueillir;"samla; ta emot; skörda";toplamak
492;fabriquer;tillverka;üretmek, imal etmek
492;une fabrication;en tillverkning;
492;un fabricant;en tillverkare;
492;une fabrique;en fabrik;
493;rare;ovanlig, sällsynt;nadir
493;rarement;sällan;
493;une rareté;"en sällsynthet; en raritet";
494;extraordinaire;"utomordentlig; ovanlig; extraordinarie";olaðanüstü
494;ordinaire;"vanlig, ordinär; ordinarie";
494;l'ordinaire;det (gamla) vanliga;
494;extraordinairement;"utomordentligt; ovanligtvis";
494;ordinairement;vanligtvis;
495;vérifier;kontrollera, verifiera;doðrulamak, kontrol etmek
495;une vérification;en kontroll, en verifikation;
495;un vérificateur;en kontrollant;
496;une envie;"en lust; en avund";arzu, istek
497;enregistrer;"registrera; spela in";"kaydetmek; kaydetmek (ses)"
497;un registre;ett register;
497;un enregistrement;"en inspelning; en registrering";
498;moderne;modern;modern
498;une modernisation;en modernisering;
498;moderniser;modernisera;
498;une modernité;en modernitet;
499;un parc;en park;park
500;efficace;effektiv;verimli, etkili
500;une efficacité;effektivitet;
500;efficacement;effektivt;
500;inefficace;ineffektiv;
501;une île;en ö;ada
501;un îlot;"en liten ö; en holme";
502;une carrière;"en (yrkes)karriär; ett stenbrott";"kariyer; taþ ocaðý"
503;nourrir;föda;beslemek
503;une nourriture;"en föda; en mat";
504;un bras;en arm;kol
505;garantir;garantera;garanti etmek
505;une garantie;en garanti;
505;un garant;en borgensman;
506;un geste;"en gest; en handling";hareket, jest
507;un roman;en roman;roman
507;roman;romansk;
507;un romancier;en romanförfattare;
507;romantique;romantisk;
507;romanesque;roman-, romanesk;
507;le romantisme;romantism;
508;un facteur;en brevbärare;postacý
509;une échelle;"en stege; en skala";"merdiven; ölçek"
509;un échelon;"en stegpinne; ett steg; en nivå";
509;échelonner;"fördela; sprida ut";
510;supplémentaire;tilläggs-, extra-;ek, ilave
510;un supplément;"ett tillägg; en tilläggsavgift; en bilaga";
511;un ordinateur;en dator;bilgisayar
512;extrême;extrem;aþýrý, uç
512;extrêmement;extremt;
512;une extrémité;"en yttersta ände; en extremitet; en lem";
512;extrémiste;extrem;
512;un, une extrémiste;en extremist;
513;bénéficier;"gynna; dra nytta av; utnyttja";yararlanmak
513;un bénéfice;en förmån;
513;un, une bénéficiaire;en förmånstagare;
513;bénéficiaire;vinst-;
513;bénéfique;"gynnsam; välgörande";
514;une perspective;"ett perspektiv; en utsikt";perspektif, bakýþ açýsý
514;perspectif;perspektiv-;
515;un défaut;"ett fel; en brist";kusur, eksiklik
516;précieux;"dyrbar; värdefull";deðerli, kýymetli
517;une démocratie;en demokrati;demokrasi
517;démocratique;demokratisk;
517;un, une démocrate;en demokrat;
517;démocrate;demokratisk;
517;une démocratisation;en demokratisering;
517;démocratiquement;demokratiskt;
518;un silence;en tystnad;sessizlik
518;silencieux;"tyst; tystlåten";
518;un silencieux;en ljuddämpare;
518;silencieusement;tyst;
519;une troupe;en trupp;birlik, trupp
519;un troupeau;"en flock; en hjord";
520;qualifier;"beteckna; kvalificera";nitelemek
520;une qualification;"en beteckning; en kvalificering";
520;qualificatif;"betecknande; kval(ificerings)-";
520;disqualifier;diskvalificera;
521;dégager;"lossa; lösgöra";serbest býrakmak, çýkarmak
522;une stratégie;en strategi;strateji
522;stratégique;strategisk;
522;un stratège;en strateg;
523;un bateau;en båt;tekne, gemi
524;une course;"en löpning; ett lopp; ett ärende";"yarýþ; koþu"
524;courir;"springa; löpa; rinna";
524;un coureur;en löpare;
525;une machine;en maskin;makine
525;un machin;en grej;
525;machiner;"smida; koka ihop";
525;la machinerie;"maskiner; maskineri; maskinpark";
526;un village;en by;köy
526;un villageois;en bybo;
526;villageois;by-;
527;surveiller;"övervaka; vakta";gözetlemek, denetlemek
527;une surveillance;övervakning;
527;un surveillant;"en övervakare; en kontrollant; en skolvakt";
528;une édition;"en upplaga; en utgåva; en förlagsverksamhet";baský, edisyon
528;un éditeur;"en utgivare; en förläggare";
528;un éditorial;en (tidnings)ledare;
528;inédit;"ny; opublicerad";
528;éditer;"ge ut; redigera";
528;rééditer;"ge ut på nytt; omredigera";
529;une leçon;"en lektion; en läxa; en lärdom";ders
530;accomplir;fullborda;tamamlamak, baþarmak
530;accompli;"fullbordad; fulländad";
530;un accomplissement;ett fullbordande;
531;décevoir;göra besviken;hayal kýrýklýðýna uðratmak
531;décevant;nedslående;
531;une déception;en besvikelse;
531;déçu;besviken;
532;une bataille;"en strid; ett slagsmål";savaþ, muharebe
532;un bataillon;en bataljon;
533;un port;"en hamn; en hamnstad";liman
533;un aéroport;en flygplats;
533;portuaire;hamn-;
534;froid;"kall; kylig";soðuk
534;le froid;"kyla; köld";
534;refroidir;kyla av;
534;un refroidissement;en (av)kylning;
534;une froideur;"en kyla; en köld; en kallsinnighet";
534;froidement;kyligt;
535;un hôpital;ett sjukhus;hastane
535;hospitalier;"gästvänlig; sjukhus-";
535;une hospitalisation;en sjukhusinläggning;
536;un circuit;"en krets; en bilbana";devre, pist
537;terrible;"förfärlig; toppenbra";"korkunç; müthiþ"
537;un, une terroriste;terrorist;
537;le terrorisme;terrorism;
537;une terreur;en skräck;
537;terriblement;"förskräckligt; väldigt";
537;antiterroriste;antiterrorist-;
537;terrifiant;fasansfull;
537;terroriser;terrorisera;
537;terrifier;skrämma;
538;un degré;"en grad; ett steg";derece
539;un rêve;en dröm;rüya
539;rêver;drömma;
539;un rêveur;en drömmare;
539;rêveur;drömmande;
539;une rêverie;ett drömmeri;
540;inspirer;"inspirera; entusiasmera; inge";ilham vermek
540;une inspiration;"en ingivelse; en inspiration";
541;un chapitre;ett kapitel;bölüm (kitap)
542;quotidien;(var)daglig;günlük
542;un quotidien;en dagstidning;
542;quotidiennement;(var)dagligen;
543;léger;"lätt; ledig; smidig";hafif
543;légèrement;"lätt; lättsinnigt";
543;alléger;"lätta; göra lindrigare";
543;un allégement;"en lättnad; en lindring";
543;une légèreté;"en lätthet; ett lättsinne";
543;un allègement;"en lättnad; en lindring";
544;permanent;"bestående; permanent";kalýcý, sürekli
544;une permanence;"en varaktighet; en jourtjänst; en mottagningstid";
545;un candidat;kandidat;aday
545;une candidature;en ansökan, en kandidatur;
546;une résistance;ett motstånd;direniþ
546;résister;"motstå; göra motstånd";
546;résistant;motståndskraftig, resistent;
546;un résistant;en motståndsman;
546;irrésistible;oemotståndlig;
547;se fier;förlita sig;güvenmek
547;se méfier de;misstro;
547;fiable;"pålitlig; driftsäker";
547;une méfiance;en misstro;
547;une fiabilité;"en pålitlighet; en driftsäkerhet";
547;méfiant;misstrogen;
548;fier;stolt;gururlu
548;une fierté;en stolthet;
548;fièrement;stolt;
549;une formule;"en formel; en metod";formül
549;formuler;formulera;
549;un formulaire;"ett formulär; en blankett";
549;une formulation;en formulering;
550;un mur;"en vägg; en mur";duvar
550;une muraille;en (hög) mur;
551;un tribunal;"en domstol; en tribunal";mahkeme
551;une tribune;"en läktare; en talarstol";
552;manger;äta;yemek yemek
553;évidemment;"uppenbarligen; naturligtvis; javisst!";açýkça, elbette
553;évident;"uppenbar; självklar";
553;une évidence;"en tydlighet; en självklarhet";
554;une évolution;en utveckling;evrim, geliþim
554;évoluer;utvecklas;
554;évolutif;utvecklings-;
554;dévolu à;som tillfaller;
555;fou;galen;deli
555;un fou;en galning;
555;une folie;en galenskap;
555;affoler;göra bestört;
556;attacher;"fästa; binda fast";baðlamak, tutturmak
